"case_study","title","author","journal","year","Threat_category_numeric","Threat_category_description","Response_category_numeric","Response_category_description"
"Bycatch","Risk assessment and relative impact of Uruguayan pelagic longliners on seabirds","JimŽnez, Sebasti‡n, Domingo, AndrŽs, Abreu, Martin, Brazeiro, Alejandro","Aquatic Living Resources",2012,2,"Threatening mechanism",0,"No response"
"Bycatch","The management of the distant water tuna fishery in Taiwan","Ting, Huan_Kuo, Ou, Ching_Hsiewn, Liu, Wen_Hong","marine Policy",2012,4,"Underlying driver of threat",0,"No response"
"Bycatch","Safe Leads for safe heads: safer line weights for pelagic longline fisheries","Sullivan, B J, Kibel, P, Robertson, G, Kibel, B, Goren, M, Candy, S G, Wienecke, B","Fisheries Research",2012,4,"Underlying driver of threat",4,"Testing response"
"Bycatch","Canadian fishery closures provide a large_scale test of the impact of gillnet bycatch on seabird populations","Regular, Paul, Montevecchi, William, Hedd, April, Robertson, Gregory, Wilhelm, Sabina","Biology Letters",2013,2,"Threatening mechanism",4,"Testing response"
"Bycatch","Reducing seabird bycatch in the South African joint venture tuna fishery using bird_scaring lines, branch line weighting and nighttime setting of hooks","Melvin, Edward F, Guy, Troy J, Read, Lorraine B","Fisheries Research",2013,2,"Threatening mechanism",4,"Testing response"
"Bycatch","Seabird bycatch in the Argentinean demersal longline fishery, 2001?2010","Favero, Marco, Blanco, Gabriel, Copello, Sofia, Seco Pon, Juan Pablo, Patterlini, Carla, Mariano_Jelicich, Roc’o, Garc’a, Germ‡n, Ber—n, Mar’a Paula","Endangered Species Reseach",2013,2,"Threatening mechanism",0,"No response"
"Bycatch","Comparison of the effectiveness of paired and single tori lines for preventing bait attacks by seabirds and their bycatch in pelagic longline fisheries","Sato, Noriyosi, Minami, Hiroshi, Katsumata, Nobuhiro, Ochi, Daisuke, Yokawa, Kotaro","Fisheries Research",2013,2,"Threatening mechanism",4,"Testing response"
"Bycatch","Fisheries Bycatch as an Inadvertent Human_Induced Evolutionary Mechanism","Barbraud, Christophe, Tuck, Geoffrey N., Thomson, Robin, Delord, Karine, Weimerskirch, Henri","PLoS ONE",2013,2,"Threatening mechanism",0,"No response"
"Bycatch","Distributions and Fishery Associations of Immature Short_tailed Albatrosses, Phoebastria albatrus, in the North Pacific","O'Connor, Amelia J","Science: Marine and Resource Management",2013,3,"Source of mechanism",0,"No response"
"Bycatch","Scaling down the analysis of seabird_fishery interactions","Torres, Leigh G, Sagar, Paul M, Thompson, David R, Phillips, Richard A","Marine Ecology Progress Series",2013,3,"Source of mechanism",0,"No response"
"Bycatch","Diving behaviour of white_chinned petrels and its relevance for mitigating longline bycatch","Rollinson, D. P., Dilley, B. J., Ryan, P. G.","Polar Biology",2014,1,"Describing the state of nature",0,"No response"
"Bycatch","Cory's shearwater by_catch in the Mediterranean Spanish commercial longline fishery: implications for management","B‡ez, JosŽ C, Garc’a_Barcelona, Salvador, Mendoza, Manuel, Ortiz de Urbina, JosŽ, Real, Raimundo, Mac’as, David","Biodiversity and Conservation",2014,2,"Threatening mechanism",1,"Proposing a response"
"Bycatch","Mitigating Seabird Bycatch during Hauling by Pelagic Longline Vessels","Gilman, E., Chaloupka, M., Wiedoff, B., Willson, J.","PLoS ONE",2014,2,"Threatening mechanism",1,"Proposing a response"
"Bycatch","Best practice seabird bycatch mitigation for pelagic longline fisheries targeting tuna and related species","Melvin, E. F., Guy, T. J., Read, L. B.","Fisheries Research",2014,2,"Threatening mechanism",4,"Testing response"
"Bycatch","Bycatch of great albatrosses in pelagic longline fisheries in the southwest Atlantic: Contributing factors and implications for management","JimŽnez, Sebasti‡n, Phillips, Richard A., Brazeiro, Alejandro, Defeo, Omar, Domingo, AndrŽs","Biological Conservation",2014,2,"Threatening mechanism",1,"Proposing a response"
"Bycatch","Comparing bycatch mitigation strategies for vulnerable marine megafauna","Senko, J, White, E R, Heppell, S S, Gerber, L R","Animal Conservation",2014,2,"Threatening mechanism",4,"Testing response"
"Bycatch","Global patterns of marine mammal, seabird, and sea turtle bycatch reveal taxa_specific and cumulative megafauna hotspots","Lewison, Rebecca L, Crowder, Bryan P, Moore, Jeffrey E, Cox, Tara, Zydelis, Ramunas, McDonald, Sara, DiMatteo, Andrew, Dunn, Daniel C, Kot, Connie Y, Bjorkland, Rhema","PNAS",2014,3,"Source of mechanism",0,"No response"
"Bycatch","Spatial overlap of Black_browed albatrosses with longline and trawl fisheries in the Patagonian Shelf during the non_breeding season","Copello, Sofia, Seco Pon, Juan Pablo, Favero, Marco","Journal of Sea Research",2014,3,"Source of mechanism",0,"No response"
"South Asian vultures","Population trends of Critically Endangered Gyps vultures in the lowlands of Nepal","Chaudhary et al.","Bird Conservation International",2011,3,"Source of mechanism",1,"Proposing a response"
"South Asian vultures","Gyps vulture restoration project - role of captive breeding in endangered species management","Khan & Murn","The Journal of Animal and Plant Sciences",2011,1,"Describing the state of nature",3,"Implementing response"
"South Asian vultures","Recent developments in Gyps vulture conservation in Pakistan","Murn et al.","Vulture News",2011,1,"Describing the state of nature",3,"Implementing response"
"South Asian vultures","Assessing the ongoing threat from veterinary non-steroidal anti-inflammatory drugs to Critically Endangered Gyps vultures in India","Cuthbert et al.","Oryx",2011,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","Effectiveness of action in India to reduce exposure of Gyps vultures to the toxic veterinary drug diclofenac","Cuthbert et al.","PLoS One",2011,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","First evidence that populations of the critically endangered longbilled vulture Gyps indicus in Pakistan have increased following the ban of the toxic veterinary drug diclofenac in south Asia","Chaudhary et al.","Bird Conservation International",2012,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","Conservation breeding for the future release of the critically endangered Asian Gyps vultures","Bowden et al.","Journal of the Bombay Natural History Society",2012,1,"Describing the state of nature",4,"Testing response"
"South Asian vultures","Molecular sexing of threatened Gyps vultures","Ghorpade et al.","SpringerPlus",2012,3,"Source of mechanism",1,"Proposing a response"
"South Asian vultures","The population decline of Gyps vultures in India and Nepal has slowed since veterinary use of diclofenac was banned","Prakash et al.","PLoS One",2012,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","Aceclofenac as a potential threat to Critically Endangered vultures in India: a review","Sharma","Journal of Raptor Research",2012,3,"Source of mechanism",0,"No response"
"South Asian vultures","Vultures in Cambodia: population, threats and conservation","Clements et al.","Bird Conservation International",2012,3,"Source of mechanism",2,"Designing response"
"South Asian vultures","The conservation of Accipitridae vultures of Nepal: a review","Harris","Journal of Threatened Taxa",2013,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","Population and spatial breeding dynamics of a Critically Endangered Oriental white-backed vulture Gyps bengalensis colony in Snidh Province, Pakistan","Murn et al.","Bird Conservation International",2014,1,"Describing the state of nature",1,"Proposing a response"
"South Asian vultures","Vulture Safe Zones to save Gyps vultures in South Asia","Mukherjee et al. ","Mist Net",2014,3,"Source of mechanism",3,"Implementing response"
"South Asian vultures","Avian scavengers and the threat from veterinary pharmaceuticals","Cuthbert et al. ","Philosophical Transactions of the Royal Society B",2014,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","Management implications of genetic studies for ex situ populations of three critically endangered Asian Gyps vultures","Ishtiaq et al.","Animal Conservation",2014,1,"Describing the state of nature",3,"Implementing response"
"South Asian vultures","Have population declines in Egyptian vulture and red-headed vulture in India slowed since the 2006 ban on veterinary diclofenac?","Galligan et al. ","Bird Conservation International",2014,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","Continuing mortality of vultures in India associated with illegal veterinary use of diclofenac and a potential threat from nimesulide","Cuthbert et al. ","Oryx",2015,3,"Source of mechanism",4,"Testing response"
"South Asian vultures","The safety and pharamcokinetics of carprofen, flunixin and phenylbutazone in the Cape vulture (gyps coprotheres) following oral exposure","Fourie et al.","PLoS One",2015,3,"Source of mechanism",0,"No response"
"South Asian vultures","Metabolism of aceclofenac in cattle to vulture-killing diclofenac","Galligan et al. ","Conservation Biology",2016,2,"Threatening mechanism",4,"Testing response"
"South Asian vultures","Recent changes in populations of critically endangered gyps vultures in India","Prakash et al.","Bird Conservation International",2017,1,"Describing the state of nature",4,"Testing response"
"South Asian vultures","The use of toxicokinetics and exposure studies to show that carprofen in cattle tissue could lead to secondary  toxicity and death in wild vultures","Naidoo et al.","Chemosphere",2018,2,"Threatening mechanism",4,"Testing response"
"Whooping crane","Decision Analysis for Conservation Breeding: Maximizing Production for Reintroduction of Whooping Cranes","Smith, DHV; Converse, SJ; Gibson, KW; Moehrenschlager, A; Link, WA; Olsen, GH; Maguire, K","JOURNAL OF WILDLIFE MANAGEMENT",2011,1,"Describing the state of nature",2,"Designing a response"
"Whooping crane","Which uncertainty? Using expert elicitation and expected value of information to design an adaptive program","Runge, MC; Converse, SJ; Lyons, JE","BIOLOGICAL CONSERVATION",2011,2,"Threatening mechanism",2,"Designing a response"
"Whooping crane","SEMINAL QUALITY IN WHOOPING CRANE (GRUS AMERICANA) IS AFFECTED BY STAGE OF BREEDING SEASON BUT NOT BY AGE OF INDIVIDUAL","Brown, ME; Crosier, A; Lynch, W; Converse, SJ; Chandler, J; Olsen, G; French, J; Wildt, DE; Songsasen, N","REPRODUCTION FERTILITY AND DEVELOPMENT",2011,1,"Describing the state of nature",0,"No response"
"Whooping crane","River inflow, estuarine salinity, and Carolina wolfberry fruit abundance: linking abiotic drivers to Whooping Crane food","Wozniak, JR; Swannack, TM; Butzler, R; Llewellyn, C; Davis, SE","JOURNAL OF COASTAL CONSERVATION",2012,2,"Threatening mechanism",0,"No response"
"Whooping crane","Bayesian networks and the quest for reserve adequacy","Schapaugh, AW; Tyre, AJ","BIOLOGICAL CONSERVATION",2012,2,"Threatening mechanism",2,"Designing a response"
"Whooping crane","Archive Eggs: A Research and Management Tool for Avian Conservation Breeding","Smith, DHV; Moehrenschlager, A; Christensen, N; Knapik, D; Gibson, K; Converse, SJ","WILDLIFE SOCIETY BULLETIN",2012,1,"Describing the state of nature",2,"Designing a response"
"Whooping crane","Evaluating release alternatives for a long-lived bird species under uncertainty about long-term demographic rates","Moore, CT; Converse, SJ; Folk, MJ; Runge, MC; Nesbitt, SA","JOURNAL OF ORNITHOLOGY",2012,1,"Describing the state of nature",1,"Proposing a response"
"Whooping crane","Potential Impact of Climate Change Scenarios on Whooping Crane Life History","Chavez-Ramirez, F; Wehtje, W","WETLANDS",2012,3,"Source of mechanism",0,"No response"
"Whooping crane","Demography and population trends of Whooping Cranes","Gil-Weir, KC; Grant, WE; Slack, RD; Wang, HH; Fujiwara, M","JOURNAL OF FIELD ORNITHOLOGY",2012,1,"Describing the state of nature",0,"No response"
"Whooping crane","Bayesian analysis of multi-state data with individual covariates for estimating genetic effects on demography","Converse, SJ; Royle, JA; Urbanek, RP","JOURNAL OF ORNITHOLOGY",2012,2,"Threatening mechanism",0,"No response"
"Whooping crane","Whooping crane Grus americana chick mortality and management intervention","King, RS; Espenshade, JL; Kirkpatrick-Wahl, SK; Lapinski, MK; Malekan, I; Ricket, JM","WILDLIFE BIOLOGY",2013,1,"Describing the state of nature",4,"Testing response"
"Whooping crane","Avian mortalities due to transmission line collisions: a review of current estimates and field methods with an emphasis on applications to the Canadian electric network","Rioux, S; Savard, JPL; Gerick, AA","AVIAN CONSERVATION AND ECOLOGY",2013,2,"Threatening mechanism",0,"No response"
"Whooping crane","Reintroduction Medicine: Whooping Cranes in Wisconsin","Keller, DL; Hartup, BK","ZOO BIOLOGY",2013,2,"Threatening mechanism",3,"Implementing response"
"Whooping crane","A hierarchical nest survival model integrating incomplete temporally varying covariates","Converse, SJ; Royle, JA; Adler, PH; Urbanek, RP; Barzen, JA","ECOLOGY AND EVOLUTION",2013,2,"Threatening mechanism",0,"No response"
"Whooping crane","Whooping Crane (Grus americana) Nest Attentiveness, Desertion and Management Intervention","King, RS; Espenshade, JL; Kirkpatrick-Wahl, S; Lapinski, MK; Malekan, IS; Rickett, JM","WATERBIRDS",2013,2,"Threatening mechanism",1,"Proposing a response"
"Whooping crane","The Relationship of Blue Crab Abundance to Winter Mortality of Whooping Cranes","Pugesek, BH; Baldwin, MJ; Stehn, T","WILSON JOURNAL OF ORNITHOLOGY",2013,2,"Threatening mechanism",0,"No response"
"Whooping crane","A Matter of Tradeoffs: Reintroduction as a Multiple Objective Decision","Converse, SJ; Moore, CT; Folk, MJ; Runge, MC","JOURNAL OF WILDLIFE MANAGEMENT",2013,1,"Describing the state of nature",3,"Implementing response"
"Whooping crane","Influence of whooping crane population dynamics on its recovery and management","Butler, MJ; Harris, G; Strobel, BN","BIOLOGICAL CONSERVATION",2013,1,"Describing the state of nature",0,"No response"
"Whooping crane","Is Male-biased Collision Mortality of Whooping Cranes (Grus americana) in Florida Associated with Flock Behavior?","Folk, MJ; Dellinger, TA; Leone, EH","WATERBIRDS",2013,2,"Threatening mechanism",0,"No response"
"Whooping crane","Effects of environmental stressors on nest success of introduced birds","King, RS; Trutwin, JJ; Hunter, TS; Varner, DM","JOURNAL OF WILDLIFE MANAGEMENT",2013,2,"Threatening mechanism",1,"Proposing a response"
"Whooping crane","Winter Distribution Dynamics and Implications to a Reintroduced Population of Migratory Whooping Cranes","Urbanek, RP; Szyszkoski, EK; Zimorski, SE","JOURNAL OF FISH AND WILDLIFE MANAGEMENT",2014,2,"Threatening mechanism",0,"No response"
"Whooping crane","Whooping crane demographic responses to winter drought focus conservation strategies","Butler, MJ; Metzger, KL; Harris, G","BIOLOGICAL CONSERVATION",2014,2,"Threatening mechanism",0,"No response"
"Whooping crane","Refining Reintroduction of Whooping Cranes with Habitat Use and Suitability Analysis","Van Schmidt, ND; Barzen, JA; Engels, MJ; Lacy, AE","JOURNAL OF WILDLIFE MANAGEMENT",2014,1,"Describing the state of nature",2,"Designing a response"
"Whooping crane","Suitability of Coastal Marshes as Whooping Crane (Grus americana) Foraging Habitat in Southwest Louisiana, USA","Kang, SR; King, SL","WATERBIRDS",2014,1,"Describing the state of nature",0,"No response"
"Whooping crane","Demography of a reintroduced population: moving toward management models for an endangered species, the Whooping Crane","Servanty, S; Converse, SJ; Bailey, LL","ECOLOGICAL APPLICATIONS",2014,1,"Describing the state of nature",0,"No response"
"Whooping crane","Predicting and Mapping Potential Whooping Crane Stopover Habitat to Guide Site Selection for Wind Energy Projects","Belaire, JA; Kreakie, BJ; Keitt, T; Minor, E","CONSERVATION BIOLOGY",2014,2,"Threatening mechanism",1,"Proposing a response"
"Whooping crane","Predation and Scavenging by American Alligators on Whooping Cranes and Sandhill Cranes in Florida","Folk, MJ; Woodward, AR; Spalding, MG","SOUTHEASTERN NATURALIST",2014,2,"Threatening mechanism",2,"Designing a response"
"Whooping crane","Using data from online social networks in conservation science: which species engage people the most on Twitter?","Roberge, JM","BIODIVERSITY AND CONSERVATION",2014,4,"Underlying driver of threat",0,"No response"
"Whooping crane","UNUSUAL WINTERING DISTRIBUTION AND MIGRATORY BEHAVIOR OF THE WHOOPING CRANE (GRUS AMERICANA) IN 2011-2012","Wright, GD; Harner, MJ; Chambers, JD","WILSON JOURNAL OF ORNITHOLOGY",2014,1,"Describing the state of nature",0,"No response"
"Whooping crane","The Role of Social Capital in Endangered Species Management: A Valuable Resource","Ragland, CJ; Bernacchi, LA; Peterson, TR","WILDLIFE SOCIETY BULLETIN",2015,4,"Underlying driver of threat",4,"Testing response"
"Whooping crane","Can interrupting parent-offspring cultural transmission be beneficial? The case of Whooping Crane reintroduction","Dinets, V","CONDOR",2015,2,"Threatening mechanism",1,"Proposing a response"
"Whooping crane","Use of opportunistic sightings and expert knowledge to predict and compare Whooping Crane stopover habitat","Hefley, TJ; Baasch, DM; Tyre, AJ; Blankenship, EE","CONSERVATION BIOLOGY",2015,1,"Describing the state of nature",0,"No response"
"Whooping crane","Engaging Active Stakeholders in Implementation of Community-Based Conservation: Whooping Crane Management in Texas, USA","Bernacchi, LA; Ragland, CJ; Peterson, TR","WILDLIFE SOCIETY BULLETIN",2015,4,"Underlying driver of threat",1,"Proposing a response"
"Whooping crane","Comparison of Serum Protein Electrophoresis Values in Wild and Captive Whooping Cranes (Grus americana)","Hausmann, JC; Cray, C; Hartup, BK","JOURNAL OF AVIAN MEDICINE AND SURGERY",2015,1,"Describing the state of nature",0,"No response"
"Whooping crane","Coccidian Parasites and Conservation Implications for the Endangered Whooping Crane (Grus americana)","Bertram, MR; Hamer, GL; Snowden, KF; Hartup, BK; Hamer, SA","PLOS ONE",2015,2,"Threatening mechanism",0,"No response"
"Whooping crane","Host-Parasite Behavioral Interactions in a Recently Introduced, Whooping Crane Population","King, RS; McKann, PC; Gray, BR; Putnam, MS","JOURNAL OF FISH AND WILDLIFE MANAGEMENT",2015,2,"Threatening mechanism",0,"No response"
"Whooping crane","Adaptive management for improving species conservation across the captive-wild spectrum","Canessa, S; Guillera-Arroita, G; Lahoz-Monfort, JJ; Southwell, DM; Armstrong, DP; Chades, I; Lacy, RC; Converse, SJ","BIOLOGICAL CONSERVATION",2016,1,"Describing the state of nature",2,"Designing a response"
"Whooping crane","Female gonadal hormones and reproductive behaviors as key determinants of successful reproductive output of breeding whooping cranes (Grus americana)","Brown, ME; Converse, SJ; Chandler, JN; Shafer, C; Brown, JL; Keefer, CL; Songsasen, N","GENERAL AND COMPARATIVE ENDOCRINOLOGY",2016,1,"Describing the state of nature",0,"No response"
"Whooping crane","Integrated population modeling to assess demographic variation and contributions to population growth for endangered whooping cranes","Wilson, S; Gil-Weir, MC; Clark, RG; Robertson, GJ; Bidwell, MT","BIOLOGICAL CONSERVATION",2016,1,"Describing the state of nature",1,"Proposing a response"
"Whooping crane","COMPUTED TOMOGRAPHIC ANATOMY AND CHARACTERISTICS OF RESPIRATORY ASPERGILLOSIS IN JUVENILE WHOOPING CRANES","Schwarz, T; Kelley, C; Pinkerton, ME; Hartup, BK","VETERINARY RADIOLOGY & ULTRASOUND",2016,1,"Describing the state of nature",0,"No response"
"Whooping crane","Nest-Site Selection Patterns of Coexisting Sandhill and Whooping Cranes in Wisconsin","Strobel, BN; Giorgi, GF","JOURNAL OF FISH AND WILDLIFE MANAGEMENT",2017,2,"Threatening mechanism",0,"No response"
"Whooping crane","Temporal migration shifts in the Aransas-Wood Buffalo population of Whooping Cranes (Grus americana) across North America (vol 40, pg 195, 2017)","Jorgensen, JG; Brown, MB","WATERBIRDS",2017,2,"Threatening mechanism",0,"No response"
"Whooping crane","Are whooping cranes destined for extinction? Climate change imperils recruitment and population growth","Butler, MJ; Metzger, KL; Harris, GM","ECOLOGY AND EVOLUTION",2017,2,"Threatening mechanism",0,"No response"
"Whooping crane","Haemosporida prevalence and diversity are similar in endangered wild whooping cranes (Grus americana) and sympatric sandhill cranes (Grus canadensis)","Bertram, MR; Hamer, GL; Hartup, BK; Snowden, KF; Medeiros, MC; Hamer, SA","PARASITOLOGY",2017,2,"Threatening mechanism",0,"No response"
"Whooping crane","Time within reproductive season, but not age or inbreeding coefficient, affects seminal and sperm quality in the whooping crane (Grus americana)","Brown, ME; Converse, SJ; Chandler, JN; Crosier, AL; Lynch, W; Wildt, DE; Keefer, CL; Songsasen, N","REPRODUCTION FERTILITY AND DEVELOPMENT",2017,1,"Describing the state of nature",0,"No response"
"Whooping crane","Investigating whooping crane habitat in relation to hydrology, channel morphology and a water-centric management strategy on the central Platte River, Nebraska","Farnsworth, JM; Baasch, DM; Farrell, PD; Smith, CB; Werbylo, KL","HELIYON",2018,2,"Threatening mechanism",4,"Testing response"
"Whooping crane","Differential changes in the onset of spring across US National Wildlife Refuges and North American migratory bird flyways","Waller, EK; Crimmins, TM; Walker, JJ; Posthumus, EE; Weltzin, JF","PLOS ONE",2018,2,"Threatening mechanism",1,"Proposing a response"
"Whooping crane","Examination of multiple working hypotheses to address reproductive failure in reintroduced Whooping Cranes","Barzen, JA; Converse, SJ; Adler, PH; Lacy, A; Gray, E; Gossens, A","CONDOR",2018,2,"Threatening mechanism",4,"Testing response"
"Whooping crane","Cryopreservation effects on sperm function and fertility in two threatened crane species","Brown, ME; Singh, RP; Pukazhenthi, B; Keefer, CL; Songsasen, N","CRYOBIOLOGY",2018,1,"Describing the state of nature",4,"Testing response"
"Whooping crane","Opportunistically collected data reveal habitat selection by migrating Whooping Cranes in the US Northern Plains","Niemuth, ND; Ryba, AJ; Pearse, AT; Kvas, SM; Brandt, DA; Wangler, B; Austin, JE; Carlisle, MJ","CONDOR",2018,2,"Threatening mechanism",1,"Proposing a response"
"Whooping crane","Delineating and identifying long-term changes in the whooping crane (Grus americana) migration corridor","Pearse, AT; Rabbe, M; Juliusson, LM; Bidwell, MT; Craig-Moore, L; Brandt, DA; Harrell, W","PLOS ONE",2018,1,"Describing the state of nature",0,"No response"
"Whooping crane","Perceptions of Whooping Cranes among waterfowl hunters in Alabama: using specialization, awareness, knowledge, and attitudes to understand conservation behavior","Lessard, SK; Morse, WC; Lepczyk, CA; Seekamp, E","HUMAN DIMENSIONS OF WILDLIFE",2018,4,"Underlying driver of threat",0,"No response"
"Whooping crane","Serum Biochemical Analytes and Trace Elements in Juvenile Whooping Cranes (Grus americana)","Ratliff, C; Hartup, BK","JOURNAL OF WILDLIFE DISEASES",2019,1,"Describing the state of nature",0,"No response"
"Whooping crane","Wing Abnormality in a Wild-Hatched Whooping Crane (Grus americana) Chick from the Nonmigratory Population in Louisiana, USA","Vasseur, PL; Zimorski, SE; Szyszkoski, EK; LaCour, JM; Lankton, JS; Granger, LA","JOURNAL OF WILDLIFE DISEASES",2019,1,"Describing the state of nature",0,"No response"
"Whooping crane","MANIFESTATIONS OF HYPERPARATHYROIDISM IN JUVENILE WHOOPING CRANES (GRUS AMERICANA)","Parkinson, L; Hartup, BK","JOURNAL OF ZOO AND WILDLIFE MEDICINE",2019,2,"Threatening mechanism",0,"No response"
"Whooping crane","The dilemma of pest suppression in the conservation of endangered species","Adler, PH; Barzen, J; Gray, E; Lacy, A; Urbanek, RP; Converse, SJ","CONSERVATION BIOLOGY",2019,2,"Threatening mechanism",2,"Designing a response"
"Whooping crane","Factors affecting captive whooping crane egg fertility: A retrospective analysis","Brown, ME; Keefer, CL; Songsasen, N","JOURNAL OF WILDLIFE MANAGEMENT",2019,1,"Describing the state of nature",4,"Testing response"
"Whooping crane","Long-term demographic and genetic effects of releasing captive-born individuals into the wild","Willoughby, JR; Christie, MR","CONSERVATION BIOLOGY",2019,1,"Describing the state of nature",2,"Designing a response"
"Whooping crane","Whooping crane use of riverine stopover sites","Baasch, DM; Farrell, PD; Howlin, S; Pearse, AT; Farnsworth, JM; Smith, CB","PLOS ONE",2019,2,"Threatening mechanism",2,"Designing a response"
"Whooping crane","The importance of early life experience and animal cultures in reintroductions","Teitelbaum, CS; Converse, SJ; Mueller, T","CONSERVATION LETTERS",2019,1,"Describing the state of nature",4,"Testing response"
"sample","Urinary cortisol levels of gray-cheeked mangabeys are higher in   disturbed compared to undisturbed forest areas in Kibale National Park,   Uganda","N. A. Jaimez and R. G. Bribiescas and G. P. Aronsen and S. A. Anestis and D. P. Watts","animalconservation",2012,2,"Threatening mechanism",0,"No response"
"sample","Does change in IUCN status affect demand for African bovid trophies?","G. W. Prescott and P. J. Johnson and A. J. Loveridge and D. W. Macdonald","animalconservation",2012,3,"Source of mechanism",0,"No response"
"sample","Influence of space use on fitness and the reintroduction success of the   Laysan teal","M. H. Reynolds and J. S. Hatfield and L. P. Laniawe and M. S. Vekasy and J. L. Klavitter and P. Berkowitz and L. H. Crampton and J. R. Walters","animalconservation",2012,1,"Describing the state of nature",4,"Testing response"
"sample","Unexpected outcomes of invasive predator control: the importance of   evaluating conservation management actions","J. C. Walsh and K. A. Wilson and J. Benshemesh and H. P. Possingham","animalconservation",2012,2,"Threatening mechanism",4,"Testing response"
"sample","Cross-scale predictions allow the identification of local conservation   priorities from atlas data","P. Bombi and D. Salvi and M. A. Bologna","animalconservation",2012,1,"Describing the state of nature",1,"Proposing a response"
"sample","Bird functional diversity and wildfires in the Amazon: the role of   forest structure","J. Hidasi-Neto and J. Barlow and M. V. Cianciaruso","animalconservation",2012,2,"Threatening mechanism",0,"No response"
"sample","Habitat relationships among biodiversity indicators and co-occurring   species in a freshwater fish community","J. S. Wesner and M. C. Belk","animalconservation",2012,1,"Describing the state of nature",0,"No response"
